Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDM46,OUT019,120.9278741
FDW14,OUT010,120.9568507
FDN49,OUT017,125.4724874
NCI31,OUT013,126.2936003
FDY59,OUT010,126.3716201
FDW33,OUT010,127.2688399
NCV18,OUT019,129.5626162
FDN49,OUT013,131.3616421
NCR42,OUT013,131.9889881
FDX24,OUT010,134.3262009
FDS47,OUT019,134.3359101
NCO05,OUT010,136.3696578
NCY41,OUT013,138.6464679
FDO27,OUT019,140.8845732
FDS49,OUT019,140.9092046
NCI31,OUT017,145.8008835
FDH33,OUT013,146.5436102
FDG40,OUT013,149.3630035
DRG27,OUT013,152.3577354
FDH12,OUT010,155.2887804
FDP13,OUT017,156.6124617
NCC55,OUT013,157.5949865
FDJ45,OUT017,161.03625
NCY17,OUT017,163.2700289
NCZ17,OUT013,166.6021
FDU33,OUT013,166.8162157
FDT47,OUT010,167.7958511
NCY05,OUT013,169.1505936
FDT02,OUT013,174.2176316
FDA23,OUT010,175.8352176
FDH45,OUT013,176.1549357
NCL41,OUT013,177.5921984
FDZ52,OUT010,180.9579366
NCD30,OUT010,184.8018097
DRY23,OUT013,187.1829435
FDX59,OUT017,188.6976221
DRN35,OUT017,189.2903473
DRK35,OUT013,189.9889383
DRG27,OUT017,193.3956811
FDP12,OUT013,200.8080539
NCO43,OUT010,200.8630002
FDB20,OUT019,201.7136528
FDH20,OUT010,203.1483509
FDN50,OUT010,206.7641313
FDG22,OUT013,211.8885638
FDM57,OUT019,214.0771406
FDH40,OUT019,214.7526341
NCC55,OUT017,216.2171067
FDW23,OUT017,216.7106077
FDH46,OUT010,218.5919677
FDK24,OUT013,218.7816034
FDM56,OUT010,220.143128
FDD22,OUT010,220.7077772
NCE31,OUT035,221.6572173
FDC50,OUT019,222.4092824
FDU33,OUT017,224.6498336
FDH45,OUT017,224.9706255
FDQ04,OUT013,225.7559504
FDV10,OUT013,226.6938849
DRJ25,OUT013,227.151206
FDD51,OUT017,227.9258568
FDV52,OUT010,232.98163
FDR49,OUT017,233.2024179
FDP57,OUT010,233.2291736
NCI17,OUT019,241.0536309
NCT54,OUT010,248.1777575
FDZ48,OUT010,250.566553
DRH15,OUT017,251.0460122
NCL07,OUT013,252.3626697
FDV43,OUT013,256.427223
FDQ22,OUT013,256.7365791
FDC56,OUT010,257.4987793
FDT20,OUT017,260.0438584
FDD45,OUT019,260.3163926
NCN54,OUT019,264.5988979
FDQ04,OUT017,265.463359
FDK16,OUT019,265.6541515
FDI56,OUT019,270.8316193
NCS38,OUT010,271.5728694
FDB41,OUT013,271.6956232
NCT30,OUT013,274.9887386
DRF03,OUT017,275.3294865
NCD55,OUT013,276.6652463
FDQ22,OUT017,278.3739926
FDT34,OUT019,278.3774855
FDG59,OUT013,279.2108293
FDT14,OUT010,279.6780021
NCM53,OUT010,282.2312205
NCL07,OUT017,284.8798086
DRF25,OUT017,285.6164463
NCA06,OUT035,287.0173052
FDL43,OUT019,288.399776
NCF55,OUT017,288.4419266
FDD32,OUT019,289.7875028
FDB41,OUT017,294.1388089
FDA57,OUT017,295.1331836
FDY20,OUT019,298.4662724
FDK24,OUT017,300.3383705
FDP22,OUT013,301.0931656
NCD42,OUT017,302.8435033
DRF51,OUT035,303.5473904
FDP37,OUT010,307.7782547
FDO31,OUT019,308.0068345
FDZ39,OUT010,310.1466424
FDI16,OUT017,316.8499102
FDC28,OUT010,317.0617884
FDS24,OUT019,318.1523123
FDX28,OUT010,318.2367825
FDX03,OUT017,318.2702624
NCO26,OUT010,319.027517
FDI40,OUT019,319.3223872
FDF09,OUT017,320.6821124
FDG52,OUT017,323.904291
FDF38,OUT017,323.9253467
FDS09,OUT013,324.0377113
FDV28,OUT045,324.175326
NCL05,OUT017,325.9939712
FDH31,OUT010,326.760635
FDN24,OUT013,327.5511392
FDW21,OUT010,328.7516354
FDO50,OUT019,329.9448802
FDV08,OUT017,334.5435907
FDW35,OUT013,337.4888166
NCC07,OUT010,339.8882048
FDC37,OUT010,340.4593862
DRJ59,OUT017,340.7733518
FDW03,OUT010,343.7338236
FDO51,OUT017,344.0342794
FDF08,OUT019,350.2149107
FDG44,OUT013,351.0033413
FDY35,OUT013,352.1300535
NCR18,OUT013,353.0416425
FDX10,OUT035,353.1725751
FDT50,OUT019,354.8855462
FDI27,OUT013,357.3645044
FDP39,OUT013,357.4581714
FDT36,OUT035,357.9186116
FDE56,OUT013,359.225855
NCO06,OUT045,359.3506355
FDR33,OUT010,363.0026354
FDD53,OUT013,363.486291
NCJ19,OUT013,368.3847472
FDU11,OUT010,369.9543759
DRE25,OUT019,371.5538953
DRM48,OUT035,371.7731905
NCR06,OUT017,372.7175233
FDL21,OUT017,374.9838631
FDR20,OUT013,375.4454205
NCM42,OUT010,377.08315
FDR24,OUT019,379.0346829
FDY24,OUT017,379.4962822
FDR40,OUT019,379.6389324
FDJ03,OUT017,380.5464597
FDV14,OUT019,381.1886123
FDM38,OUT017,381.5119035
DRE03,OUT013,383.9079627
NCS42,OUT019,387.8610161
FDJ33,OUT010,388.1218611
FDP13,OUT035,389.2405048
FDU45,OUT010,391.3459794
DRZ24,OUT010,391.7791555
FDL16,OUT035,392.2342357
FDH09,OUT013,392.2578246
NCB55,OUT017,392.5539652
FDQ31,OUT019,393.6252195
FDJ16,OUT013,395.5720374
DRI39,OUT013,395.9292014
FDP10,OUT019,399.4542888
NCJ19,OUT017,403.0502984
FDT56,OUT013,403.6604762
FDV56,OUT010,404.1205861
FDX38,OUT017,407.4327339
FDC10,OUT010,407.4383948
FDO49,OUT013,409.7381326
FDT22,OUT013,410.3701649
DRN59,OUT013,410.4075767
FDP31,OUT013,411.7241496
FDS22,OUT017,413.5775819
DRE13,OUT019,414.9566241
NCZ17,OUT035,415.0953159
FDP56,OUT013,415.9530033
FDE23,OUT013,419.5043478
FDP13,OUT045,421.4580708
FDY35,OUT017,422.1802021
DRK01,OUT019,428.9284096
FDG44,OUT017,429.4365812
FDX44,OUT019,429.8617997
DRG39,OUT013,430.5352286
FDJ53,OUT010,431.8356038
FDU09,OUT013,432.0880461
DRI37,OUT013,432.4818968
FDL12,OUT017,440.4677591
FDD48,OUT010,440.8851806
FDY19,OUT010,443.205904
FDE29,OUT017,445.0796327
DRO35,OUT010,448.131096
NCW54,OUT017,448.2322568
FDX59,OUT035,448.5201418
FDG40,OUT035,449.2737601
FDH32,OUT019,449.3008086
FDL22,OUT019,453.1898069
NCA53,OUT013,453.3402895
NCE19,OUT017,455.1981551
DRG27,OUT035,455.3101479
FDP32,OUT010,458.4087825
FDQ04,OUT035,458.6754532
FDT43,OUT013,458.7835369
FDL04,OUT019,458.8356677
FDT60,OUT010,459.4241475
FDU27,OUT035,459.8475458
FDW24,OUT017,462.1605784
FDS25,OUT019,462.7319126
FDT56,OUT017,464.8201342
NCK31,OUT013,465.9810712
FDR13,OUT010,466.0839236
NCR42,OUT035,466.1504967
NCY05,OUT035,467.4878577
DRL59,OUT013,468.2062927
FDN49,OUT045,469.6575903
DRD01,OUT013,472.043157
FDW16,OUT019,474.2407522
NCR29,OUT013,474.4053303
NCN29,OUT013,475.6135603
FDQ47,OUT046,476.8744769
FDZ40,OUT013,476.9785066
FDM22,OUT017,478.4557066
DRN35,OUT045,478.6462933
FDA11,OUT019,479.2733575
FDV12,OUT019,480.7900639
FDU09,OUT017,481.3379575
FDB26,OUT013,481.4769059
FDQ26,OUT013,484.4399055
FDT25,OUT010,484.881805
FDL16,OUT045,486.5935983
FDJ50,OUT013,486.719501
FDZ07,OUT013,489.6031581
FDT22,OUT017,490.2500909
FDP49,OUT017,491.1876713
NCM19,OUT010,491.5787677
NCU17,OUT019,492.6660216
DRJ25,OUT035,494.2474876
FDB39,OUT013,495.0643863
FDZ13,OUT013,495.2140082
DRH11,OUT017,496.1471869
FDZ13,OUT035,496.4971372
FDT46,OUT013,496.9209643
FDU13,OUT010,497.3685029
NCF55,OUT035,498.1469967
FDA01,OUT013,499.2438517
FDD28,OUT013,499.4058009
NCM30,OUT035,500.0155794
DRG39,OUT017,501.8514937
DRH15,OUT035,502.111049
FDL52,OUT035,504.0354268
FDO49,OUT017,504.5076331
NCM18,OUT013,505.2976183
FDT45,OUT017,505.7029723
FDU10,OUT035,505.9635043
FDU15,OUT035,506.126128
FDG50,OUT019,506.6505719
NCK31,OUT017,507.8866104
FDE21,OUT010,508.6541472
FDN25,OUT017,508.6573218
FDO04,OUT013,509.5262714
FDF59,OUT010,512.8784771
NCR29,OUT017,514.4474125
FDQ47,OUT049,515.037878
FDV43,OUT035,515.8207751
FDE59,OUT045,515.9059432
FDE40,OUT013,517.6305019
FDG40,OUT045,517.6562562
FDZ07,OUT017,518.3115134
DRF01,OUT010,518.9539872
FDQ22,OUT035,519.2955994
NCJ06,OUT010,520.3005275
FDS40,OUT035,521.2942534
DRL59,OUT017,522.6308371
FDV32,OUT013,524.2698124
FDY22,OUT010,524.383053
FDU33,OUT045,526.8606865
FDU27,OUT045,527.7300775
FDB09,OUT010,529.7851577
FDC20,OUT013,529.960118
FDU10,OUT045,530.733733
FDM40,OUT010,531.2837984
FDM60,OUT035,532.8679814
NCV54,OUT010,533.0486958
NCL41,OUT045,533.4217952
FDR49,OUT045,533.884568
NCN53,OUT045,534.0424796
FDR19,OUT010,537.3178326
FDD53,OUT035,537.8912402
NCD42,OUT035,540.4803088
DRH15,OUT045,540.6484641
NCJ18,OUT019,541.8021006
NCD06,OUT035,543.2062002
FDU39,OUT013,546.11459
FDU20,OUT010,546.6875428
DRY23,OUT045,547.3528983
NCM17,OUT035,548.3298674
FDX46,OUT017,549.7545182
FDA25,OUT019,550.2810789
FDE32,OUT045,550.2885864
FDL52,OUT045,552.1559207
NCH29,OUT019,552.7146147
FDN50,OUT019,555.3869267
NCK17,OUT035,555.4830582
NCO06,OUT049,556.4372062
FDC14,OUT035,556.6150118
FDR14,OUT035,559.7689433
DRH23,OUT035,559.9018621
FDG10,OUT013,560.2102918
FDR14,OUT045,560.6999441
FDY12,OUT035,561.8182063
FDA57,OUT035,562.6193026
NCL07,OUT035,563.1802696
FDE35,OUT017,564.3933722
FDJ50,OUT017,564.4917995
FDN16,OUT019,566.55202
NCM18,OUT017,566.8212656
FDW38,OUT013,568.4870286
FDG22,OUT045,569.2766912
FDP13,OUT046,570.9716674
FDS15,OUT019,571.2470781
FDT36,OUT049,571.745058
FDS03,OUT013,572.9659724
FDX03,OUT035,576.6304628
DRJ59,OUT035,576.9207987
FDO51,OUT035,577.294541
FDU25,OUT013,578.592088
FDD08,OUT045,580.3265303
FDT02,OUT045,584.6206538
NCP02,OUT017,585.6168634
NCO02,OUT013,588.0965483
FDV21,OUT019,588.2309602
NCY06,OUT010,589.5495107
DRN59,OUT035,589.619969
FDF38,OUT035,589.7216565
NCM54,OUT010,590.3101343
FDQ08,OUT013,591.5453366
NCM30,OUT045,591.6455281
FDV16,OUT045,591.6511029
FDY12,OUT045,592.4551099
FDE51,OUT045,594.7431007
FDD05,OUT010,594.8303875
FDV08,OUT035,595.691944
NCD55,OUT035,596.8312753
FDJ10,OUT010,599.780476
FDA56,OUT010,599.9328496
FDS22,OUT035,599.9457729
NCV30,OUT017,600.7951926
FDC14,OUT045,603.1971046
FDF28,OUT010,604.8434284
FDT24,OUT017,606.4208233
NCD06,OUT045,606.6923789
FDC59,OUT013,607.023438
FDM60,OUT045,607.4460263
FDP59,OUT019,608.0688287
FDD53,OUT045,609.3706046
NCB55,OUT035,609.8778803
FDV52,OUT019,610.3976505
FDE47,OUT010,610.4610658
FDR36,OUT046,610.8320431
FDH52,OUT013,611.781011
FDG29,OUT045,612.5944091
FDN24,OUT035,613.3699309
DRB48,OUT045,614.7840947
FDK57,OUT010,616.6356113
FDS51,OUT013,616.6673218
FDZ57,OUT010,616.7820303
FDJ03,OUT035,617.2247968
FDV43,OUT045,618.3119142
NCK53,OUT019,618.6130562
FDU21,OUT046,618.9361339
FDC51,OUT010,620.1523495
FDJ45,OUT046,621.508849
NCR18,OUT035,621.837995
FDG10,OUT017,622.533068
FDK04,OUT013,623.5733488
FDU27,OUT046,625.9988221
DRK12,OUT046,626.2399649
FDO51,OUT045,626.987419
DRM49,OUT046,627.161265
FDL16,OUT046,628.4418246
NCM17,OUT045,629.0477366
FDS03,OUT017,629.8549772
FDF38,OUT045,630.1331603
NCP17,OUT013,631.0122912
DRK49,OUT045,632.2915248
FDJ32,OUT017,632.3372923
FDA39,OUT045,635.0524677
NCC55,OUT045,635.2096731
NCG42,OUT010,635.2216197
FDY40,OUT035,635.6165353
NCQ42,OUT010,635.9458806
FDI27,OUT035,638.5870508
FDI05,OUT013,638.9121669
FDT14,OUT019,641.5613998
DRI49,OUT013,642.1469286
DRB25,OUT019,642.7202498
FDI21,OUT017,643.5762024
FDP36,OUT035,644.5147001
FDT04,OUT049,645.552684
FDF44,OUT010,646.025717
FDS09,OUT035,647.2547913
FDT04,OUT046,647.7028663
FDE59,OUT046,649.6014549
FDI16,OUT045,650.2030919
FDX50,OUT019,651.0262572
NCT30,OUT045,652.4244407
NCD55,OUT045,652.8183268
NCC55,OUT046,653.2444557
FDS21,OUT017,653.2480555
FDF58,OUT013,654.3143617
FDP56,OUT035,656.6985871
FDM38,OUT035,657.3138884
NCC06,OUT010,657.5490914
FDX38,OUT035,657.8799565
FDA13,OUT046,658.0547488
FDS51,OUT017,658.5158143
FDG31,OUT017,659.8256174
FDG52,OUT045,659.9351
FDW38,OUT045,660.03484
FDU33,OUT046,662.3645578
NCG18,OUT019,664.4166396
NCW29,OUT010,666.48891
NCF19,OUT035,667.149835
FDB50,OUT013,667.1791429
FDX40,OUT049,669.1671688
FDP39,OUT035,669.7906034
FDQ04,OUT045,670.7958683
FDM51,OUT019,671.6749163
FDP04,OUT013,673.1421442
FDY07,OUT035,674.1912679
FDO01,OUT010,675.0883894
FDP36,OUT045,675.3393517
FDQ04,OUT046,677.7855146
FDL48,OUT045,678.2362008
FDV23,OUT010,680.849683
NCR18,OUT045,680.9532138
FDV50,OUT010,682.7425586
FDW03,OUT019,684.5961754
FDE29,OUT035,687.1365528
NCJ19,OUT035,688.4474001
FDO60,OUT045,688.4618219
FDL27,OUT013,689.0835003
NCP17,OUT017,690.0350575
NCN53,OUT046,690.9788442
FDF58,OUT017,691.7436688
FDD51,OUT046,691.9629549
NCR42,OUT049,692.6486513
FDC53,OUT019,694.4557054
NCO14,OUT045,695.99159
FDI60,OUT017,697.8223946
FDE44,OUT049,700.2259979
FDG44,OUT045,700.3096288
NCR42,OUT046,701.3724327
FDX59,OUT049,703.0010629
DRJ25,OUT046,703.9955231
FDR36,OUT049,706.7205938
NCR06,OUT045,706.8257029
FDG40,OUT049,706.9036066
FDZ27,OUT035,709.6778799
DRI49,OUT017,710.3357055
NCK31,OUT035,711.4184195
FDU10,OUT046,712.6319354
FDX38,OUT045,713.7763361
NCC07,OUT019,713.8556766
FDG22,OUT049,714.9353209
FDM38,OUT045,716.1546028
FDZ35,OUT019,718.9124863
NCZ17,OUT049,719.3104157
FDQ15,OUT017,719.877294
NCA53,OUT035,720.8098597
FDE32,OUT049,720.8617584
FDC58,OUT045,722.0820863
NCF30,OUT019,722.1700827
FDQ22,OUT046,725.9691982
FDN56,OUT010,726.0715961
NCC55,OUT049,727.492
FDP38,OUT035,728.7543127
NCH30,OUT019,728.90955
FDZ47,OUT019,729.7621862
FDF29,OUT010,730.2452415
FDE56,OUT045,731.6046489
NCM31,OUT010,731.8477178
DRI37,OUT035,732.3179984
NCI31,OUT046,733.1977989
DRG39,OUT035,735.113744
DRD37,OUT035,735.7586423
NCL05,OUT045,736.3389372
FDP04,OUT017,738.5465544
FDG59,OUT049,739.3926401
FDQ16,OUT019,739.8269149
FDZ01,OUT019,741.4334416
DRC01,OUT035,742.3551586
FDI48,OUT045,742.4339848
NCY53,OUT019,743.5295238
FDF09,OUT046,744.7551093
FDO49,OUT035,745.4624059
FDE53,OUT019,746.0399514
NCD42,OUT046,747.1594452
DRI37,OUT045,749.0692063
FDU09,OUT035,749.0939476
FDV43,OUT046,750.5012454
DRH11,OUT035,751.5386168
FDQ09,OUT019,752.8119654
FDQ51,OUT045,754.3191478
DRI39,OUT045,754.6013276
FDP38,OUT045,755.132935
NCK17,OUT046,755.9268751
FDD08,OUT046,755.9616837
FDP49,OUT035,758.9686125
DRL23,OUT019,759.9852188
FDJ16,OUT045,760.3839845
FDW19,OUT019,761.4594508
FDT09,OUT010,761.5030772
FDX14,OUT013,761.8594007
NCF55,OUT049,762.0582199
FDZ40,OUT035,762.8778009
FDT02,OUT049,762.9578397
DRH59,OUT013,763.7205979
FDA57,OUT046,764.619336
NCF19,OUT045,765.1291574
FDZ07,OUT035,766.102581
FDU11,OUT019,766.6321833
FDE51,OUT049,766.9117342
NCI43,OUT045,767.2639694
DRH15,OUT049,767.3154776
NCP30,OUT046,768.0008094
DRO59,OUT013,768.2218896
FDL27,OUT017,768.5343391
FDS40,OUT046,769.1108151
FDJ20,OUT019,770.8127696
NCN53,OUT049,771.542495
FDO04,OUT035,772.0888185
FDQ20,OUT046,772.6951999
DRH23,OUT046,772.7570704
FDM04,OUT045,773.0405302
DRL37,OUT046,773.45478
DRH59,OUT017,774.1416118
DRI25,OUT035,776.0809723
NCC42,OUT010,777.8517345
FDT45,OUT045,779.4106821
FDV10,OUT049,779.4542287
FDX03,OUT046,780.180334
FDL52,OUT049,780.3279807
NCR30,OUT017,780.4611131
FDR49,OUT049,780.8135563
NCU18,OUT010,781.7153602
DRZ24,OUT019,782.4474926
DRN59,OUT046,785.3849277
FDZ13,OUT049,789.5935183
FDP31,OUT045,790.318769
NCM18,OUT035,791.1499221
FDD53,OUT046,791.2637027
FDO38,OUT013,791.5868695
FDY40,OUT045,791.9878089
FDW58,OUT019,792.0798417
FDL12,OUT045,792.4144642
FDY10,OUT019,792.9825353
FDP36,OUT046,793.5673492
FDK36,OUT045,793.7449338
FDV28,OUT049,793.7644934
FDQ20,OUT049,794.1025335
NCK31,OUT045,795.4172875
FDM16,OUT013,795.6348465
FDR02,OUT019,795.6712429
FDE40,OUT035,795.6809239
NCD55,OUT046,795.7226988
FDS35,OUT035,795.9140895
FDJ53,OUT019,796.3686617
FDA57,OUT049,796.8979111
NCL17,OUT010,798.4632351
FDY24,OUT046,798.5177981
FDL46,OUT019,800.2668647
FDN52,OUT013,801.1479068
FDF38,OUT049,802.2449578
FDK04,OUT035,802.8061085
FDO15,OUT013,803.9347347
NCV42,OUT019,803.9502258
FDC58,OUT046,803.9581878
NCM17,OUT049,804.309405
FDU37,OUT017,805.5539419
NCT30,OUT046,806.4207046
FDI16,OUT049,806.8357397
FDR14,OUT049,807.6571603
NCO54,OUT035,808.2056179
DRL35,OUT046,810.5874881
FDX10,OUT049,811.8824124
FDN25,OUT045,811.9679521
FDR20,OUT046,811.9878531
FDR11,OUT010,812.018525
FDB41,OUT049,813.4333344
NCV41,OUT019,814.3928722
NCO14,OUT046,815.5626405
FDU09,OUT045,815.8179867
FDM22,OUT045,815.8961749
NCP02,OUT035,817.3486397
DRG39,OUT045,817.498357
FDY12,OUT049,819.1470112
FDO49,OUT045,820.78199
FDT10,OUT035,821.6628809
FDG52,OUT046,821.664358
FDD16,OUT013,821.7488405
NCV30,OUT035,821.8409696
FDY08,OUT019,823.5372953
FDW38,OUT049,824.4537689
FDP22,OUT046,824.7143533
FDI27,OUT046,825.0171788
FDW35,OUT046,825.4294413
FDJ33,OUT019,827.1297496
FDD02,OUT019,828.1530692
FDQ33,OUT010,829.7554539
FDT23,OUT017,834.7672573
FDY36,OUT013,835.6836647
FDV38,OUT046,836.1365367
FDS09,OUT046,836.7871214
NCD19,OUT035,837.6395246
NCP29,OUT045,838.4557972
DRE15,OUT013,838.7319469
DRL59,OUT045,839.7042398
FDM16,OUT017,840.581629
FDE23,OUT049,840.8278516
NCV18,OUT013,843.4248719
FDC58,OUT049,844.014567
FDV08,OUT049,845.5714059
FDD59,OUT013,849.649695
DRG23,OUT010,850.1702994
FDE35,OUT035,850.6035343
FDV34,OUT017,851.541814
NCF43,OUT010,851.8909277
FDJ03,OUT046,851.9067128
FDS55,OUT010,853.6322623
FDD16,OUT017,854.210248
FDF45,OUT035,855.134872
FDN10,OUT019,856.2183188
FDL21,OUT049,856.2820713
FDI41,OUT010,857.3628318
FDY50,OUT013,857.5789181
FDI53,OUT010,857.7622858
FDW11,OUT035,859.0962275
FDL56,OUT017,859.5029589
FDN27,OUT019,859.8358442
NCU05,OUT013,860.9577908
FDP56,OUT046,861.8099761
FDR31,OUT010,862.2734721
FDJ32,OUT035,862.6422808
FDD28,OUT045,862.9626931
FDC11,OUT017,864.8109492
FDI12,OUT013,864.8599594
FDQ56,OUT017,866.3269955
NCB55,OUT049,867.1467916
FDE21,OUT019,867.1474072
FDM46,OUT013,867.4765393
FDO51,OUT049,867.6104307
FDO60,OUT049,868.3640404
NCV18,OUT017,868.8934619
FDI48,OUT046,869.8795372
FDZ07,OUT045,870.0858107
FDS51,OUT035,871.439727
FDO51,OUT046,871.4420708
DRG01,OUT017,871.4546221
FDN24,OUT049,872.3371934
FDM24,OUT010,874.5062448
FDR13,OUT019,874.7333476
DRJ35,OUT035,876.5533779
FDV08,OUT046,877.8103206
FDY35,OUT046,880.5400529
DRI39,OUT046,880.6337093
FDH52,OUT035,882.1083564
FDS39,OUT010,883.5880676
FDO04,OUT045,885.6685438
FDP39,OUT046,888.9056303
FDD28,OUT035,889.0176509
NCN54,OUT013,889.0300947
FDW15,OUT010,889.8568599
FDY31,OUT010,890.0505024
NCU05,OUT017,893.1704314
NCL07,OUT049,893.2788499
NCB19,OUT013,893.5198752
NCK05,OUT045,893.8099693
FDO27,OUT013,894.1808065
FDT56,OUT046,896.1224977
FDW45,OUT010,896.3324637
FDS22,OUT049,896.5450416
FDM57,OUT013,897.6104941
FDY24,OUT045,898.3639562
FDJ03,OUT049,899.6659209
FDR27,OUT019,900.6535364
FDY07,OUT046,901.1127053
FDN52,OUT017,902.6064056
FDK48,OUT013,903.3715224
NCF19,OUT046,903.4006136
NCO14,OUT049,903.9121099
FDS09,OUT049,904.7613857
FDZ14,OUT019,905.739704
FDY37,OUT010,907.8686566
